canid,name,channel,rid,reg,value
4,FR_calf,1,19,Flux,0.0054243202321231365
4,FR_calf,1,20,Gr,6.0
4,FR_calf,1,21,PMAX,12.5
4,FR_calf,1,22,VMAX,45.0
4,FR_calf,1,23,TMAX,20.0
4,FR_calf,1,24,I_BW,1000.0
4,FR_calf,1,25,KP_ASR,0.0032999999821186066
4,FR_calf,1,26,KI_ASR,0.0020000000949949026
4,FR_calf,1,27,KP_APR,54.0
4,FR_calf,1,28,KI_APR,0.0
4,FR_calf,1,29,OV_Value,54.0
4,FR_calf,1,30,GREF,1.0
4,FR_calf,1,31,Deta,4.0
4,FR_calf,1,32,V_BW,40.0
4,FR_calf,1,33,IQ_c1,2500.0
4,FR_calf,1,34,VL_c1,100.0
5,RL_thigh,0,7,MST_ID,21
5,RL_thigh,0,8,ESC_ID,5
5,RL_thigh,0,9,TIMEOUT,0
5,RL_thigh,0,10,CTRL_MODE,1
5,RL_thigh,0,13,hw_ver,0
5,RL_thigh,0,14,sw_ver,925971254
5,RL_thigh,0,15,SN,0
5,RL_thigh,0,16,NPP,21
5,RL_thigh,0,35,can_br,9
5,RL_thigh,0,36,sub_ver,51
5,RL_thigh,0,0,UV_Value,15.0
5,RL_thigh,0,1,KT_Value,0.0
5,RL_thigh,0,2,OT_Value,100.0
5,RL_thigh,0,3,OC_Value,0.800000011920929
5,RL_thigh,0,6,MAX_SPD,600.0
5,RL_thigh,0,11,Damp,0.0005350660067051649
5,RL_thigh,0,12,Inertia,0.00011735100270016119
5,RL_thigh,0,17,Rs,0.4369809925556183
5,RL_thigh,0,18,LS,0.00021359800302889198
5,RL_thigh,0,19,Flux,0.0054745799861848354
5,RL_thigh,0,20,Gr,6.0
5,RL_thigh,0,21,PMAX,12.5
5,RL_thigh,0,22,VMAX,45.0
5,RL_thigh,0,23,TMAX,20.0
5,RL_thigh,0,24,I_BW,1000.0
5,RL_thigh,0,25,KP_ASR,0.0032999999821186066
5,RL_thigh,0,26,KI_ASR,0.0020000000949949026
5,RL_thigh,0,27,KP_APR,54.0
5,RL_thigh,0,28,KI_APR,0.0
5,RL_thigh,0,29,OV_Value,54.0
5,RL_thigh,0,30,GREF,1.0
5,RL_thigh,0,31,Deta,4.0
5,RL_thigh,0,32,V_BW,40.0
5,RL_thigh,0,33,IQ_c1,2500.0
5,RL_thigh,0,34,VL_c1,100.0
6,RL_calf,0,7,MST_ID,22
6,RL_calf,0,8,ESC_ID,6
6,RL_calf,0,9,TIMEOUT,0
6,RL_calf,0,10,CTRL_MODE,1
6,RL_calf,0,13,hw_ver,0
6,RL_calf,0,14,sw_ver,925971254
6,RL_calf,0,15,SN,0
6,RL_calf,0,16,NPP,21
6,RL_calf,0,35,can_br,9
6,RL_calf,0,36,sub_ver,52
6,RL_calf,0,0,UV_Value,15.0
6,RL_calf,0,1,KT_Value,0.0
6,RL_calf,0,2,OT_Value,100.0
6,RL_calf,0,3,OC_Value,0.800000011920929
6,RL_calf,0,6,MAX_SPD,600.0
6,RL_calf,0,11,Damp,0.0006475800182670355
6,RL_calf,0,12,Inertia,0.00011787300172727555
6,RL_calf,0,17,Rs,0.4103449881076813
6,RL_calf,0,18,LS,0.00019784801406785846
6,RL_calf,0,19,Flux,0.0053926799446344376
6,RL_calf,0,20,Gr,6.0
6,RL_calf,0,21,PMAX,12.5
6,RL_calf,0,22,VMAX,45.0
6,RL_calf,0,23,TMAX,20.0
6,RL_calf,0,24,I_BW,1000.0
6,RL_calf,0,25,KP_ASR,0.0032999999821186066
6,RL_calf,0,26,KI_ASR,0.0020000000949949026
6,RL_calf,0,27,KP_APR,54.0
6,RL_calf,0,28,KI_APR,0.0
6,RL_calf,0,29,OV_Value,54.0
6,RL_calf,0,30,GREF,1.0
6,RL_calf,0,31,Deta,4.0
6,RL_calf,0,32,V_BW,40.0
6,RL_calf,0,33,IQ_c1,2500.0
6,RL_calf,0,34,VL_c1,100.0
7,RR_thigh,1,7,MST_ID,23
7,RR_thigh,1,8,ESC_ID,7
7,RR_thigh,1,9,TIMEOUT,0
7,RR_thigh,1,10,CTRL_MODE,1
7,RR_thigh,1,13,hw_ver,0
7,RR_thigh,1,14,sw_ver,925971254
7,RR_thigh,1,15,SN,0
7,RR_thigh,1,16,NPP,21
7,RR_thigh,1,35,can_br,9
7,RR_thigh,1,36,sub_ver,52
7,RR_thigh,1,0,UV_Value,15.0
7,RR_thigh,1,1,KT_Value,0.0
7,RR_thigh,1,2,OT_Value,100.0
7,RR_thigh,1,3,OC_Value,0.800000011920929
7,RR_thigh,1,6,MAX_SPD,600.0
7,RR_thigh,1,11,Damp,0.0010879699839279056
7,RR_thigh,1,12,Inertia,0.00012695600162260234
7,RR_thigh,1,17,Rs,0.4141849875450134
7,RR_thigh,1,18,LS,0.0002014659985434264
7,RR_thigh,1,19,Flux,0.005450330208986998
7,RR_thigh,1,20,Gr,6.0
7,RR_thigh,1,21,PMAX,12.5
7,RR_thigh,1,22,VMAX,45.0
7,RR_thigh,1,23,TMAX,20.0
7,RR_thigh,1,24,I_BW,1000.0
7,RR_thigh,1,25,KP_ASR,0.0032999999821186066
7,RR_thigh,1,26,KI_ASR,0.0020000000949949026
7,RR_thigh,1,27,KP_APR,54.0
7,RR_thigh,1,28,KI_APR,0.0
7,RR_thigh,1,29,OV_Value,54.0
7,RR_thigh,1,30,GREF,1.0
7,RR_thigh,1,31,Deta,4.0
7,RR_thigh,1,32,V_BW,40.0
7,RR_thigh,1,33,IQ_c1,2500.0
7,RR_thigh,1,34,VL_c1,100.0
8,RR_calf,1,7,MST_ID,24
8,RR_calf,1,8,ESC_ID,8
8,RR_calf,1,9,TIMEOUT,0
8,RR_calf,1,10,CTRL_MODE,1
8,RR_calf,1,13,hw_ver,0
8,RR_calf,1,14,sw_ver,925971254
8,RR_calf,1,15,SN,0
8,RR_calf,1,16,NPP,21
8,RR_calf,1,35,can_br,9
8,RR_calf,1,36,sub_ver,52
8,RR_calf,1,0,UV_Value,15.0
8,RR_calf,1,1,KT_Value,0.0
8,RR_calf,1,2,OT_Value,100.0
8,RR_calf,1,3,OC_Value,0.800000011920929
8,RR_calf,1,6,MAX_SPD,600.0
8,RR_calf,1,11,Damp,0.0006813409854657948
8,RR_calf,1,12,Inertia,0.00012050299847032875
8,RR_calf,1,17,Rs,0.4139479994773865
8,RR_calf,1,18,LS,0.00020400900393724442
8,RR_calf,1,19,Flux,0.005430310033261776
8,RR_calf,1,20,Gr,6.0
8,RR_calf,1,21,PMAX,12.5
8,RR_calf,1,22,VMAX,45.0
8,RR_calf,1,23,TMAX,20.0
8,RR_calf,1,24,I_BW,1000.0
8,RR_calf,1,25,KP_ASR,0.0032999999821186066
8,RR_calf,1,26,KI_ASR,0.0020000000949949026
8,RR_calf,1,27,KP_APR,54.0
8,RR_calf,1,28,KI_APR,0.0
8,RR_calf,1,29,OV_Value,54.0
8,RR_calf,1,30,GREF,1.0
8,RR_calf,1,31,Deta,4.0
8,RR_calf,1,32,V_BW,40.0
8,RR_calf,1,33,IQ_c1,2500.0
8,RR_calf,1,34,VL_c1,100.0
